Chemical formula,Synonyms,CAS number
AgCN,silver cyanide,506-64-9
AgF,silver fluoride,7775-41-9
AgF2,silver difluoride,7775-41-9
AgI,silver iodide,7783-96-2
AgIO3,silver iodate,7783-97-3
AgMnO4,silver permanganate,7783-98-4
AgN3,silver azide,13863-88-2
AgNO3,silver nitrate,7761-88-8
AgO,silver monoxide,
AgONC,silver fulminate,5610-59-3
AgPF6,silver hexafluorophosphate,26042-63-7
AgSNC,silver thiocyanate,1701-93-5
Al(NO3)3,aluminium nitrate,13473-90-0
Al(OH)3,aluminium hydroxide,21645-51-2
Al2(CO3)3,aluminium carbonate,14455-29-9
Al2(SO4)3,aluminium sulfate,14455-29-9
Al2BeO4,beryllium aluminium oxide,12004-06-7
Al2Br6,dialuminium hexabromide,18898-34-5
Al2Cl9K3,potassium aluminium chloride,74978-20-4
Al2CoO4,cobalt blue,1333-88-6
Al2F6,aluminium fluoride,17949-86-9
Al2I6,aluminium iodide,18898-35-6
Al2MgO4,magnesium aluminium oxide,12068-51-8
Al2O,dialuminium monoxide,12004-36-3
Al2O2,dialuminium dioxide,12252-63-0
Al2O3,aluminium oxide,1344-28-1
Al2O5Si,aluminium silicate,1302-76-7
Al2O5Si,aluminium silicate,12141-46-7
Al2O5Si,andalusite,12183-80-1
Al2O7Si2,aluminium silicate,1332-58-7
Al2S,dialuminium monosulfide,12004-45-4
Al2S3,aluminium sulfide,1302-81-4
Al2Se,dialuminium selenide,12598-14-0
Al2Te,dialuminium telluride,12598-16-2
Al3F14Na5,chiolite,1302-84-7
Al4C3,,
Al6BeO10,beryllium aluminium oxide,12253-74-6
Al6O13Si2,mullite,1302-93-8
AlBO,aluminium boron oxide,12041-48-4
AlBO2,aluminium borate,61279-70-7
AlBr,aluminium monobromide,22359-97-3
AlBr3,aluminium tribromide,7727-15-3
AlCl,aluminium monochloride,13595-81-8
AlCl2F,aluminium chloride fluoride,13497-96-6
AlCl2H,,16603-84-2
AlCl3,aluminium chloride,16603-84-2
AlCl3,aluminium trichloride,7446-70-0
AlCl4Cs,aluminium caesium tetrachloride,17992-03-9
AlCl4K,potassium tetrachloroaluminate,13821-13-1
AlCl4Na,sodium tetrachloroaluminate,7784-16-9
AlCl4Rb,aluminium rubidium tetrachloride,17992-02-8
AlCl6K3,potassium hexachloroaluminate,13782-08-6
AlCl6Na3,sodium hexachloroaluminate,60172-46-5
AlClF,aluminium chloride fluoride,22395-91-1
AlClF,aluminium chloride fluoride,22395-91-1
AlClF2,aluminium chloride fluoride,13814-65-8
AlClO,aluminium chloride oxide,13596-11-7
AlF,aluminium monofluoride,13595-82-9
AlF2,aluminium difluoride,13569-23-8
AlF2O,aluminium difluoride oxide,38344-66-0
AlF3,aluminium trifluoride,7784-18-1
AlF4K,potassium tetrafluoroaluminate,14484-69-6
AlF4Li,lithium tetrafluoroaluminate,15138-76-8
AlF6K3,potassium hexafluoraluminate,13775-52-5
AlF6Li3,lithium hexafluoroaluminate,13821-20-0
AlF6Na3,cryolite,15096-52-3
AlFO,aluminium monofluoride monoxide,13596-12-8
AlGaInP,aluminium-gallium-indium phosphide,
AlI,aluminium monoiodide,29977-41-1
AlI3,aluminium triiodide,7784-23-8
AlLiO2,lithium aluminate,12003-67-7
AlN,aluminium nitride,24304-00-5
AlNaO2,sodium aluminate,1302-42-7
AlO,aluminium monoxide,14457-64-8
AlO2,Aluminium(IV) oxide,11092-32-3
AlOSi,aluminium silicon monoxide,37361-47-0
AlP,aluminium monophosphide,20859-73-8
AlPO4,aluminium phosphate,7784-30-7
AlTe,aluminium monotelluride,23330-86-1
AlTe2,monoaluminium ditelluride,39297-18-2
ArClF,argon chloride fluoride,53169-15-6
ArClH,argon chloride hydride,163731-17-7
ArFH,argon fluoride hydride,163731-16-6
As2I4,arsenic diiodide,13770-56-4
As2Mg3,magnesium arsenide,12044-49-4
As2O3,arsenic trioxide,1327-53-3
As2O5,arsenic pentaoxide,1303-28-2
As2P2,arsenic diphosphide,12512-03-7
As2S4,arsenic tetrasulfide,1303-32-8
As2S5,arsenic pentasulfide,1303-34-0
As2Se,arsenic hemiselenide,1303-35-1
As2Se3,arsenic triselenide,1303-36-2
As2Se5,arsenic pentaselenide,1303-37-3
As3O4,arsenic tetraoxide,83527-53-1
As3P,arsenic(III) phosphide,12512-11-7
As4O3,tetraarsenic trioxide,83527-54-2
As4O5,tetraarsenic pentaoxide,83527-55-3
As4S3,tetraarsenic trisulfide,12512-13-9
As4S4,tetraarsenic tetrasulfide,12279-90-2
AsBr3,arsenic tribromide,7784-33-0
AsBrO,arsenic oxybromide,82868-10-8
AsCl3,arsenic trichloride,7784-34-1
AsCl3O,arsenic oxychloride,60646-36-8
AsCl4F,arsenic tetrachloride fluoride,87198-15-0
AsClO,arsenic monoxide monochloride,14525-25-8
AsF3,arsenic trifluoride,7784-35-2
AsF5,arsenic pentafluoride,7784-36-3
AsH3,arsine,7784-42-1
AsI3,arsenic triiodide,7784-45-4
AsO,arsenic monoxide,12005-99-1
AsO2,arsenic dioxide,12255-12-8
AsP,arsenic monophosphide,12255-33-3
AsP3,arsenic triphosphide,12511-95-4
AsTl,thallium arsenide,12006-09-6
Au(OH)3,gold hydroxide,1303-52-2
Au2(SeO4)3,gold triselenate,10294-32-3
Au2O3,gold trioxide,1303-58-8
Au2S,gold sulfide,1303-60-2
Au2S3,gold trisulfide,1303-61-3
Au2Se3,gold triselenide,1303-62-4
AuBO,gold monoboride monoxide,12588-90-8
AuBr,gold bromide,10294-27-6
AuBr3,gold tribromide,10294-28-7
AuCl,gold chloride,10294-29-8
AuCl3,gold trichloride,13453-07-1
AuCN,gold cyanide,506-65-0
AuF3,gold trifluoride,14720-21-9
AuI,gold iodide,10294-31-2
AuI3,gold(III) iodide,31032-13-0
AuTe,gold telluride,37043-71-3
B(OH)3,boric acid,10043-35-3
B2Cl4,boron chloride,13701-67-2
B2F4,boron trifluoride,13965-73-6
B2H6,boron hydride,19287-45-7
B2O3,boron(III) oxide,1303-86-2
B2S3,boron sulfide,12007-33-9
B3N3H6,borazine,6569-51-3
B4C,boron carbide,12069-32-8
Ba(AlO2)2,barium aluminate,12004-04-5
Ba(AsO3)2,barium arsenite,125687-68-5
Ba(AsO4)2,barium arsenate,56997-31-0
Ba(BrO3)2·2H2O,barium bromate dihydrate,
Ba(BrO3)2·H2O,barium bromate monohydrate,10326-26-8
Ba(C2H3O2)2,barium acetate,543-81-7
Ba(CHO2)2,barium formate,541-43-5
Ba(ClO4)2,barium perchlorate,13465-95-7
Ba(CN)2,barium cyanide,542-62-1
Ba(MnO4)2,barium permanganate,7787-36-2
Ba(NbO3)2,barium niobate,12009-14-2
Ba(NO2)2,barium nitrite,13465-94-6
Ba(NO3)2,barium nitrate,10022-31-8
Ba(OH)2,barium hydroxide,17194-00-2
Ba(PO3)2,barium metaphosphate,13466-20-1
Ba(SCN)2,barium thiocyanate,2092-17-3
Ba2Na(NbO3)5,barium sodium niobate,12323-03-4
Ba2P2O7,barium pyrophosphate,13466-21-2
Ba2V2O7,barium pyrovanadate,
Ba2XeO6,barium perxenate,
Ba3(CrO4)2,barium chromate(V),12345-14-1
Ba3(PO4)2,barium orthophosphate,
Ba3(VO4)2,barium orthovandate,39416-30-3
Ba3N2,barium nitride,12047-79-9
BaB6,barium hexaboride,12046-08-1
BaBr2,barium bromide,10553-31-8
BaC2,barium carbide,50813-65-5
BaC2O4,barium oxalate,516-02-9
BaCl2,barium chloride,10361-37-2
BaCO3,barium carbonate,513-77-9
BaCrO4,barium chromate,10294-40-3
BaF2,barium fluoride,7787-32-8
BaFeSi4O10,gillespite,
BaHgI4,barium tetraiodomercurate(II),10048-99-4
BaI2,barium iodide,13718-50-8
BaK2(CrO4)2,barium potassium chromate,27133-66-0
BaMnO4,barium manganate,7787-35-1
BaMoO4,barium molybdate,7787-37-3
BaN6,barium azide,18810-58-7
BaNb2O6,barium metaniobate,12009-14-2
BaO,barium oxide,1304-28-5
BaO2,barium dioxide,1304-29-6
BAs,boron arsenide,12005-69-5
BaS,barium sulfide,21109-95-5
BaS2O3,barium thiosulfate,35112-53-9
BaSe,barium selenide,1304-39-8
BaSeO3,barium selenite,13718-59-7
BaSeO4,barium selenate,7787-41-9
BaSi2,barium silicide,1304-40-1
BaSi2O5,barium disilicate,12650-28-1
BaSiF6,barium hexafluorosilicate,17125-80-3
BaSiO3,barium metasilicate,13255-26-0
BaSn3,barium stannate,12009-18-6
BaSO3,barium sulfite,7787-39-5
BAsO4,boron(III) arsenate,
BaSO4,barium sulfate,7787-43-7
BaTeO3,barium tellurite,58440-17-8
BaTeO4·3H2O,barium tellurate trihydrate,28557-54-2
BaTiO3,barium titanate,12047-27-7
BaU2O7,barium uranium oxide,10380-31-1
BaWO4,barium tungstate,7787-42-0
BaZrO3,barium zirconate,12009-21-1
BBr3,boron tribromide,10294-33-4
BCl3,boron trichloride,10294-34-5
Be(BH4)2,beryllium borohydride,17440-85-6
Be(C2H3O2)2,beryllium acetate,543-81-7
Be(C5H7O2)2,beryllium acetylacetonate,10210-64-7
Be(CHO2)2,beryllium formate,1111-71-3
Be(OH)2,beryllium hydroxide,13327-32-7
Be2C,beryllium carbide,506-66-1
Be3N2,beryllium nitride,1304-54-7
BeB2,beryllium boride,12228-40-9
BeBr2,beryllium bromide,7787-46-4
BeCl2,beryllium chloride,7787-47-5
BeF2,beryllium fluoride,7787-49-7
BeI2,beryllium iodide,7787-53-3
BeO,beryllium oxide,1304-56-9
BeS,beryllium sulfide,13598-22-6
BeSO4,beryllium sulfate,13510-49-1
BF3,boron trifluoride,7/2/7637
Bi(C2H3O2)3,bismuth(III) acetate,22306-37-2
Bi(NO3)3·5H2O,bismuth(III) nitrate pentahydrate,10035-06-0
Bi(VO3)5,bismuth(III) metavanadate,
Bi2(MoO4)3,bismuth(III) molybdate,13565-96-3
Bi2O3,bismuth(III) oxide,1304-76-3
Bi2S3,bismuth(III) sulfide,1345-07-9
Bi2Se3,bismuth(III) selenide,12068-69-8
Bi2Se3,bismuth(III) selenide,12068-69-8
BI3,boron iodide,13517-10-7
BiBO3,bismuth(III) orthoborate,
BiBr3,bismuth(III) bromide,7787-58-8
BiC6H5O7,bismuth(III) citrate,813-93-4
BiCl3,bismuth(III) chloride,7787-60-2
BiF3,bismuth(III) fluoride,7787-61-3
BiI3,bismuth(III) iodide,7787-64-6
BiOCl,bismuth(III) oxychloride,7787-59-9
BiOI,bismuth(III) oxyiodide,7787-63-5
BiPO4,bismuth(III) orthophosphate,10049-01-1
BN,boron nitride,10043-11-5
BP,boron(III) phosphide,20205-91-8
BPO4,boron(III) orthophosphate,13308-51-5
Br2,bromine,7726-95-6
BrCl,bromine chloride,13863-41-7
BrO3−,bromate ion,15541-45-4
C(NH2)3NO3,guanidine nitrate,
C10H14O,mentha spicata herb oil,8008-79-5
C10H15ON,ephedrine,56370-30-0
C10H16O,camphor,76-22-2
C10H22,decane,124-18-5
C10H8,naphthalene,91-20-3
C11H12N2O2,tryptophan,73-22-3
C11H24,undecane,1120-21-4
C12H10,biphenyl,92-52-4
C12H22O11,maltose,69-79-4
C12H26,dodecane,112-40-3
C13H10O,benzophenone,119-61-9
C13H12O,β-ionone,2484-16-4
C13H28,tridecane,629-50-5
C14H10,anthracene,120-12-7
C14H10O14,benzoyl peroxide,94-36-0
C14H18N2O5,aspartame,81-14-1
C14H30,tetradecane,629-59-4
C15H32,pentadecane,629-62-9
C164H256Na2O68S2,maitotoxin,59392-53-9
C16H34,hexadecane,544-76-3
C17H36,heptadecane,629-78-7
C18H32O2,linoleic acid,60-33-3
C18H36O2,stearic acid,57-11-4
C18H38,octadecane,593-45-3
C19H40,nonadecane,629-92-5
C20H24O2N2,quinine,130-95-0
C20H42,eicosane,112-95-8
C21H36N7O16P3S,Coenzyme A,31416-98-5
C2F4,tetrafluoroethylene,116-14-3
C2H2,acetylene,74-86-2
C2H3Cl,vinyl chloride,75-01-4
C2H3O2−,acetate ion,
C2H4,ethylene,74-85-1
C2H4Cl2,ethylene dichloride,107-06-2
C2H4O2,acetic acid,64-19-7
C2H5Br,bromoethane,74-96-4
C2H5NH2,ethylamine,
C2H5NO2,glycine,56-40-6
C2H5O−,ethoxide ion,
C2H5OH,ethanol,
C2H6,ethane,74-84-0
C2H6OS,dimethyl sulfoxide,67-68-5
C2O42−,oxalate ion,
C3H3O4−,malonate ion,
C3H5N3O9,nitroglycerine,
C3H6,cyclopropane,75-19-4
C3H7NO2,alanine,56-41-7
C3H7NO2S,cysteine,52-90-4
C3H7NO3,serine,56-45-1
C3H8,propane,74-98-6
C3H8O,propanol,71-23-8
C3N12,cyanuric triazide,5637-83-2
C3N3(OH)3,cyanuric acid,
C4H10,butane,106-97-8
C4H10O,diethyl ether,60-29-7
C4H7BrO2,2-bromobutyric acid,80-58-0
C4H7NO4,aspartic acid,56-84-8
C4H8,cyclobutane,287-23-0
C4H8N2O3,asparagine,70-47-3
C4H8O,tetrahydrofuran,109-99-9
C4H9NO3,threonine,72-19-5
C4H9OH,butyl alcohol,
C5H10,cyclopentane,287-92-3
C5H10N2O3,glutamine,56-85-9
C5H10O4,deoxyribose,533-67-5
C5H11NO2,valine,660-88-8
C5H11NO2S,methionine,25343-91-3
C5H12,pentane,109-66-0
C5H4NCOOH,niacin,
C5H5−,cyclopentadienyl anion,
C5H5N,pyridine,110-86-1
C5H9NO2,proline,147-85-3
C5H9NO4,glutamic acid,56-86-0
C6F5COOH,pentafluorobenzoic acid,
C6H10O3,4-acetylbutyric acid,6/1/3128
C6H12,cyclohexane,110-82-7
C6H12O6,fructose,7660-25-5
C6H13NO,N-ethylmorpholine,1119-29-5
C6H13NO2,isoleucine,73-32-5
C6H14,hexane,110-54-3
C6H14N2O2,lysine,56-87-1
C6H14N4O2,arginine,74-79-3
C6H4O2,orthobenzoquinone,583-63-1
C6H5CH2OH,benzyl alcohol,
C6H5CHO,benzaldehyde,
C6H5COCl,benzoyl chloride,
C6H5COO−,benzoate ion,
C6H5COOH,benzoic acid,65-85-0
C6H5F,fluorobenzene,462-06-6
C6H5O73−,citrate ion,
C6H5OH,phenol,
C6H6,benzene,71-43-2
C6H6O2,catechol,120-80-9
C6H8O7,citric acid,77-92-9
C6H9N3O2,histidine,71-00-1
C7H16,heptane,142-82-5
C7H8,toluene,108-88-3
C8H18,octane,111-65-9
C8H8,cubane,277-10-1
C8H9NO2,acetaminophen,103-90-2
C9H11NO2,phenylalanine,63-91-2
C9H11NO3,tyrosine,31330-59-3
C9H20,nonane,111-84-2
C9H8O4,acetylsalicylic acid,50-78-2
Ca(C2H3O2)2,calcium acetate,62-54-4
Ca(C2H3O2)2,calcium acetate,62-54-4
Ca(CHO2)2,calcium formate,544-17-2
Ca(CHO2)2,calcium formate,544-17-2
Ca(ClO)2,calcium hypochlorite,
Ca(ClO)2,calcium hypochlorite,
Ca(ClO3)2,calcium chlorate,10137-74-3
Ca(ClO3)2,calcium chlorate,10137-74-3
Ca(ClO4)2,calcium perchlorate,13477-36-6
Ca(ClO4)2,calcium perchlorate,13477-36-6
Ca(CN)2,calcium cyanide,592-01-8
Ca(CN)2,calcium cyanide,592-01-8
Ca(H2PO2)2,calcium hypophosphite,7789-79-9
Ca(H2PO2)2,calcium hypophosphite,7789-79-9
Ca(IO3)2,calcium iodate,7789-80-2
Ca(IO3)2,calcium iodate,7789-80-2
Ca(NbO3)2,calcium metaniobate,
Ca(NbO3)2,calcium metaniobate,
Ca(NO2)2,calcium nitrite,13780-06-8
Ca(NO2)2,calcium nitrite,13780-06-8
Ca(NO3)2,calcium nitrate,10124-37-5
Ca(NO3)2,calcium nitrate,10124-37-5
Ca(NO3)2 · 4H2O,Calcium nitrate tetrahydrate,13477-34-4
Ca(NO3)2 · 4H2O,Calcium nitrate tetrahydrate,13477-34-4
Ca(OH)2,calcium hydroxide,1305-62-0
Ca(OH)2,calcium hydroxide,1305-62-0
Ca(VO3)2,calcium metavanadate,
Ca(VO3)2,calcium metavanadate,
Ca(VO4)2,calcium orthovanadate,
Ca(VO4)2,calcium orthovanadate,
Ca3N2,calcium nitride,12013-82-0
Ca3N2,calcium nitride,12013-82-0
Ca3P2,calcium phosphide,1305-99-3
Ca3P2,calcium phosphide,1305-99-3
CaB6,calcium boride,12007-99-7
CaB6,calcium boride,12007-99-7
CaBr2,calcium bromide,7789-41-5
CaBr2,calcium bromide,7789-41-5
CaC2,calcium carbide,75-20-7
CaC2,calcium carbide,75-20-7
CaC2O4,calcium oxalate,563-72-4
CaC2O4,calcium oxalate,563-72-4
CaCl2,calcium chloride,10043-52-4
CaCl2,calcium chloride,10043-52-4
CaCN2,calcium cyanamide,156-62-7
CaCN2,calcium cyanamide,156-62-7
CaCO3,calcium carbonate,471-34-1
CaCO3,calcium carbonate,471-34-1
CaF2,calcium fluoride,7789-75-5
CaF2,calcium fluoride,7789-75-5
CaH2,calcium hydride,7789-78-8
CaH2,calcium hydride,7789-78-8
CaI2,calcium iodide,10102-68-8
CaI2,calcium iodide,10102-68-8
CaMoO4,calcium molybdate,7789-82-4
CaMoO4,calcium molybdate,7789-82-4
CaO,quicklime,1305-78-8
CaO,quicklime,1305-78-8
CaO2,calcium peroxide,1305-79-9
CaO2,calcium peroxide,1305-79-9
CaS,calcium sulfide,20548-54-3
CaS,calcium sulfide,20548-54-3
CaSe,calcium selenide,1305-84-6
CaSe,calcium selenide,1305-84-6
CaSeO3,calcium selenite,
CaSeO3,calcium selenite,
CaSeO4,calcium selenate,
CaSeO4,calcium selenate,
CaSiO3,calcium metasilicate,1344-95-2
CaSiO3,calcium metasilicate,1344-95-2
CaSO4,calcium sulfate,7778-18-9
CaSO4,calcium sulfate,7778-18-9
CaSO4 · 0.5H2O,plaster of paris,10034-76-1
CaSO4 · 0.5H2O,plaster of paris,10034-76-1
CaTe,calcium telluride,12013-57-9
CaTe,calcium telluride,12013-57-9
CaTeO3,calcium tellurite,
CaTeO3,calcium tellurite,
CaTeO4,calcium tellurate,
CaTeO4,calcium tellurate,
CaTiO3,calcium titanate,12049-50-2
CaTiO3,calcium titanate,12049-50-2
CaWO4,calcium tungstate,7790-75-2
CaWO4,calcium tungstate,7790-75-2
CCl2F2,dichlorodifluoromethane,75-71-8
CCl4,carbon tetrachloride,56-23-5
Cd(C2H3O2)2,cadmium acetate,543-90-8
Cd(C2H3O2)2,cadmium acetate,543-90-8
Cd(CN)2,cadmium cyanide,542-83-6
Cd(CN)2,cadmium cyanide,542-83-6
Cd(IO3)2,cadmium iodate,7790-81-0
Cd(IO3)2,cadmium iodate,7790-81-0
Cd(N3)2,cadmium azide,14215-29-3
Cd(N3)2,cadmium azide,14215-29-3
Cd(NO3)2,cadmium nitrate,10325-94-7
Cd(NO3)2,cadmium nitrate,10325-94-7
Cd(OH)2,cadmium hydroxide,21041-95-2
Cd(OH)2,cadmium hydroxide,21041-95-2
Cd(TaO3)2,cadmium metatantalate,
Cd(TaO3)2,cadmium metatantalate,
Cd2Nb2O7,cadmium niobate,12187-14-3
Cd2Nb2O7,cadmium niobate,12187-14-3
Cd3(PO4)2,cadmium phosphate,
Cd3(PO4)2,cadmium phosphate,
Cd3As2,cadmium arsenide,12006-15-4
Cd3As2,cadmium arsenide,12006-15-4
Cd3P2,cadmium phosphide,12014-28-7
Cd3P2,cadmium phosphide,12014-28-7
CdBr2,cadmium bromide,7789-42-6
CdBr2,cadmium bromide,7789-42-6
CdC2O4,cadmium oxalate,814-88-0
CdC2O4,cadmium oxalate,814-88-0
CdCl2,cadmium chloride,10108-64-2
CdCl2,cadmium chloride,10108-64-2
CdCO3,cadmium carbonate,513-78-0
CdCO3,cadmium carbonate,513-78-0
CdCrO4,cadmium chromate,14312-00-6
CdCrO4,cadmium chromate,14312-00-6
CdF2,cadmium fluoride,7790-79-6
CdF2,cadmium fluoride,7790-79-6
CdI2,cadmium iodide,7790-80-9
CdI2,cadmium iodide,7790-80-9
CdMoO4,cadmium molybdate,13972-68-4
CdMoO4,cadmium molybdate,13972-68-4
CdO,cadmium oxide,1306-19-0
CdO,cadmium oxide,1306-19-0
CdS,cadmium sulfide,1306-23-6
CdS,cadmium sulfide,1306-23-6
CdSb,cadmium antimonide,12014-29-8
CdSb,cadmium antimonide,12014-29-8
CdSe,cadmium selenide,1306-24-7
CdSe,cadmium selenide,1306-24-7
CdSeO3,cadmium selenite,
CdSeO3,cadmium selenite,
CdSiO3,cadmium metasilicate,13477-19-5
CdSiO3,cadmium metasilicate,13477-19-5
CdSO3,cadmium sulfite,
CdSO3,cadmium sulfite,
CdSO4,cadmium sulfate,10124-36-4
CdSO4,cadmium sulfate,10124-36-4
CdTe,cadmium telluride,1306-25-8
CdTe,cadmium telluride,1306-25-8
CdTeO4,cadmium tellurate,
CdTeO4,cadmium tellurate,
CdTiO3,cadmium titanate,12014-14-1
CdTiO3,cadmium titanate,12014-14-1
CdWO4,cadmium tungstate,7790-85-4
CdWO4,cadmium tungstate,7790-85-4
CdZrO3,cadmium metazirconate,
CdZrO3,cadmium metazirconate,
Ce(SO4)2,cerium(IV) sulfate,
Ce(SO4)2,cerium(IV) sulfate,
Ce2C3,cerium(III) carbide,12115-63-8
Ce2C3,cerium(III) carbide,12115-63-8
Ce2O3,cerium(III) oxide,1345-13-7
Ce2O3,cerium(III) oxide,1345-13-7
Ce2S3,cerium(III) sulfide,12014-93-6
Ce2S3,cerium(III) sulfide,12014-93-6
CeB6,cerium boride,12008-02-5
CeB6,cerium boride,12008-02-5
CeBr3,cerium(III) bromide,14457-87-5
CeBr3,cerium(III) bromide,14457-87-5
CeC,cerium carbide,12012-32-7
CeC,cerium carbide,12012-32-7
CeCl3,cerium(III) chloride,7790-86-5
CeCl3,cerium(III) chloride,7790-86-5
CeF3,cerium(III) fluoride,7758-88-5
CeF3,cerium(III) fluoride,7758-88-5
CeF4,cerium(IV) fluoride,7758-88-5
CeF4,cerium(IV) fluoride,7758-88-5
CeI2,cerium(II) iodide,19139-47-0
CeI2,cerium(II) iodide,19139-47-0
CeI3,cerium(III) iodide,7790-87-6
CeI3,cerium(III) iodide,7790-87-6
CeN,cerium nitride,25764-08-3
CeN,cerium nitride,25764-08-3
CeO2,cerium(IV) oxide,1306-38-3
CeO2,cerium(IV) oxide,1306-38-3
CeS,cerium(II) sulfide,12014-82-3
CeS,cerium(II) sulfide,12014-82-3
CeSi2,cerium silicide,12014-85-6
CeSi2,cerium silicide,12014-85-6
CFCl2CF2Cl,freon-13,
CFCl3,freon-11,75-69-4
CH2CHCHCH2,"1,3-butadiene",106-99-0
CH2Cl2,dichloromethane,75-09-2
CH2ClCOOH,chloroacetic acid,
CH2CO,ketene,
CH2O,formaldehyde,19710-56-6
CH2OHCH2OH,ethylene glycol,
CH3(CH2)16COOH,stearic acid,
CH3CCH,propyne,
CH3CH2Br,bromoethane,
CH3CH2CH2CH2OH,butan-1-ol,
CH3CH2CH2OH,propan-1-ol,
CH3CH2CONH2,propanamide,
CH3CH2COOH,propionic acid,
CH3CH2OCH2CH3,diethyl ether,
CH3CH2OH,ethanol,
CH3CHCH2,propene,
CH3CHCHCH3,2-butene,
CH3CHO,acetaldehyde,
CH3Cl,chloromethane,74-87-3
CH3COCH3,acetone,
CH3COCl,acetyl chloride,
CH3CONH2,acetamide,
CH3COO−,acetate ion,
CH3COO(CH2)2CH(CH3)2,isoamyl acetate,
CH3COOCH2C6H5,benzyl acetate,
CH3COOCHCH2,vinyl acetate,
CH3COOH,acetic acid,
CH3I,iodomethane,74-88-4
CH3OCH3,dimethyl ether,
CH3OH,methanol,
CH3SCH3,dimethyl sulfide,
CH3SH,methanethiol,
CH4,methane,74-82-8
CHCl3,chloroform,67-66-3
Chemical formula,Synonyms,CAS number
CHO2−,formate ion,
Cl2,chlorine,7782-50-5
Cl2,chlorine,7782-50-5
Cl2O3,chlorine trioxide,17496-59-2
Cl2O3,chlorine trioxide,17496-59-2
Cl2O6,chlorine hexoxide,12442-63-6
Cl2O6,chlorine hexoxide,12442-63-6
Cl2O7,chlorine heptoxide,10294-48-1
Cl2O7,chlorine heptoxide,10294-48-1
Cl2O8,Chlorine octaoxide,
ClF,chlorine fluoride,7790-89-8
ClF,chlorine fluoride,7790-89-8
ClF3,chlorine trifluoride,7790-91-2
ClF3,chlorine trifluoride,7790-91-2
ClF5,chlorine pentafluoride,13637-63-3
ClF5,chlorine pentafluoride,13637-63-3
ClO2,chlorine dioxide,10049-04-4
ClO2,chlorine dioxide,10049-04-4
ClO3F,chlorine trioxide fluoride,7616-94-6
ClO3F,chlorine trioxide fluoride,7616-94-6
ClOClO3,chlorine perchlorate,27218-16-2
ClOClO3,chlorine perchlorate,27218-16-2
CN−,cyanide ion,
CNO−,cyanate ion,
CO,carbon monoxide,630-08-0
Co(C2H3O2)2,cobalt(II) acetate,71-48-7
Co(C2H3O2)2,cobalt(II) acetate,71-48-7
Co(C2H3O2)3,cobalt(III) acetate,917-69-1
Co(C2H3O2)3,cobalt(III) acetate,917-69-1
Co(ClO4)2,cobalt(II) perchlorate,13455-31-7
Co(ClO4)2,cobalt(II) perchlorate,13455-31-7
Co(CN)2,cobalt(II) cyanide,542-84-7
Co(CN)2,cobalt(II) cyanide,542-84-7
Co(IO3)2,cobalt(II) iodate,13455-28-2
Co(IO3)2,cobalt(II) iodate,13455-28-2
Co(NO3)2,cobalt(II) nitrate,10141-05-6
Co(NO3)2,cobalt(II) nitrate,10141-05-6
Co(NO3)3,cobalt(III) nitrate,15520-84-0
